212S;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212C;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212D;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R OSVALDO ARANHA R. ALAMEDA BUENOS AIRES AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212G;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R OSVALDO ARANHA R ALAMEDA BUENOS AIRES AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212I;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS/VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212L;TERMINAL RINCÃO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R PINTO BANDEIRA
212N;TERMINAL RINCÃO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R PINTO BANDEIRA
212M;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R PINTO BANDEIRA
212V;TERMINAL XANGÔ R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R ASSIS BRASIL R CORONEL ERNESTO BECKER R JOSÉ DO PATROCÍNIO R ANDRÉ MARQUES R VALE MACHADO AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212R;TERMINAL RINCÃO R GUARACI SCHMIDT R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
